match_id,candidate_id,job_id,candidate_skills,job_required_skill,candidate_distance_km,candidate_experience_years,skill_match,match_score
30,CAND0135,JOB0195,"azure,cpp,linux",javascript,48.3,5,0,0.107
31,CAND0283,JOB0617,"testing,git,data analysis",cpp,39.3,8,0,0.203
32,CAND0740,JOB0188,"git,sql,java",flutter,38.6,9,0,0.226
33,CAND0136,JOB0478,"python,machine learning,flutter,docker",react,26.5,14,0,0.374
34,CAND0161,JOB0565,"data analysis,linux,azure",blockchain,40.4,15,0,0.338
35,CAND0670,JOB0641,"docker,git,devops",java,25.6,0,0,0.098
36,CAND0599,JOB0900,"machine learning,java,blockchain",aws,16.7,4,0,0.213
37,CAND0356,JOB0712,"devops,python,sql,machine learning",flutter,35.6,5,0,0.158
38,CAND0045,JOB0685,"sql,java,machine learning,devops,python",cpp,1.6,12,0,0.434
39,CAND0341,JOB0155,"docker,node,angular,azure,devops",react,6.1,0,0,0.176
40,CAND0720,JOB0976,"python,cybersecurity,machine learning,blockchain,cpp",testing,3.0,1,0,0.208
41,CAND0587,JOB0104,"docker,machine learning,react,azure,javascript",cybersecurity,22.0,13,0,0.372
42,CAND0335,JOB0882,"cybersecurity,linux,git",testing,47.7,9,0,0.189
43,CAND0768,JOB0791,"node,react,aws,flutter,machine learning,azure",flutter,11.8,10,1,0.853
44,CAND0646,JOB0465,"aws,cpp,data analysis,sql,python,docker",angular,32.7,14,0,0.349
45,CAND0275,JOB0232,"java,data analysis,angular,devops",data analysis,14.6,12,1,0.882
46,CAND0572,JOB0972,"node,machine learning,cpp,azure",angular,1.2,11,0,0.415
47,CAND0383,JOB1056,"blockchain,node,data analysis",javascript,13.3,2,0,0.187
48,CAND0517,JOB0366,"angular,testing,git,docker",python,49.4,0,0,0.002
49,CAND0406,JOB0451,"aws,docker,javascript,linux",python,26.4,5,0,0.194
50,CAND0460,JOB1111,"data analysis,git,angular,devops",devops,42.7,15,1,0.829
51,CAND0775,JOB0192,"cpp,testing,javascript,angular,machine learning",java,31.5,7,0,0.214
52,CAND0182,JOB0981,"machine learning,aws,cybersecurity,devops",cybersecurity,35.1,1,1,0.58
53,CAND0288,JOB0116,"azure,data analysis,cpp,node,javascript,react",devops,28.2,5,0,0.187
54,CAND0238,JOB0871,"angular,testing,react,blockchain,java,machine learning",devops,25.2,3,0,0.159
55,CAND0120,JOB0899,"aws,cybersecurity,devops,machine learning,testing",javascript,12.5,5,0,0.25
56,CAND0454,JOB0092,"devops,data analysis,angular,react",devops,40.7,3,1,0.597
57,CAND0151,JOB0484,"angular,testing,react,flutter,data analysis",azure,38.1,8,0,0.208
58,CAND0724,JOB0608,"machine learning,flutter,angular,linux,java,testing",flutter,41.0,13,1,0.796
59,CAND0118,JOB0493,"node,linux,machine learning",sql,11.6,13,0,0.414
60,CAND0620,JOB0839,"docker,devops,git",node,29.8,10,0,0.281
61,CAND0279,JOB0703,"sql,testing,docker,java",flutter,17.3,12,0,0.371
62,CAND0750,JOB0276,"aws,azure,docker,flutter,blockchain",docker,16.1,5,1,0.736
63,CAND0777,JOB1196,"azure,docker,python,node",testing,31.7,6,0,0.193
64,CAND0306,JOB0128,"machine learning,docker,blockchain,javascript",azure,13.7,6,0,0.265
65,CAND0412,JOB0096,"node,cybersecurity,angular,docker,testing",data analysis,1.4,9,0,0.374
66,CAND0749,JOB0571,"cybersecurity,blockchain,java,azure,linux",cybersecurity,3.8,4,1,0.765
67,CAND0415,JOB0358,"aws,flutter,machine learning,linux",node,33.2,3,0,0.127
68,CAND0478,JOB0243,"angular,data analysis,cpp,azure,testing",machine learning,28.8,3,0,0.145
69,CAND0583,JOB0301,"machine learning,python,node,data analysis",docker,47.0,12,0,0.252
70,CAND0639,JOB0125,"java,devops,machine learning",flutter,45.2,15,0,0.319
71,CAND0735,JOB0856,"linux,python,cpp,sql",linux,44.2,11,1,0.743
72,CAND0601,JOB1183,"data analysis,angular,react,aws",angular,10.4,13,1,0.918
73,CAND0167,JOB0357,"testing,python,angular,linux,devops,data analysis",docker,8.8,6,0,0.285
74,CAND0529,JOB0214,"linux,flutter,blockchain,azure,data analysis,git",git,46.3,13,1,0.775
75,CAND0589,JOB0993,"angular,javascript,git,linux",cybersecurity,19.7,2,0,0.161
76,CAND0761,JOB0356,"docker,python,data analysis,flutter",python,28.6,10,1,0.786
77,CAND0071,JOB0187,"aws,java,docker,flutter,blockchain",cpp,33.2,13,0,0.327
78,CAND0715,JOB0942,"data analysis,docker,cybersecurity",azure,26.1,14,0,0.376
79,CAND0567,JOB0189,"flutter,python,angular,testing",testing,10.7,7,1,0.797
80,CAND0369,JOB1200,"linux,flutter,aws,testing,python,machine learning",cybersecurity,27.2,2,0,0.131
81,CAND0305,JOB0585,"devops,linux,azure,cpp,angular,blockchain",cpp,31.6,4,1,0.654
82,CAND0284,JOB0489,"cybersecurity,testing,flutter,node,devops",python,21.2,4,0,0.195
83,CAND0269,JOB0891,"blockchain,node,azure,react,java,javascript",machine learning,11.8,13,0,0.413
84,CAND0158,JOB0593,"node,angular,javascript,data analysis,flutter",linux,38.0,0,0,0.048
85,CAND0258,JOB0053,"azure,docker,linux",devops,29.3,1,0,0.103
86,CAND0708,JOB0560,"data analysis,git,java,sql,react,javascript",cybersecurity,29.0,13,0,0.344
87,CAND0751,JOB0539,"aws,javascript,cybersecurity,python,devops,azure",azure,2.7,8,1,0.849
88,CAND0659,JOB0378,"java,cpp,azure,sql,machine learning",node,49.6,4,0,0.082
89,CAND0751,JOB0432,"linux,machine learning,angular,aws,cybersecurity,node",java,6.6,9,0,0.354
90,CAND0705,JOB0882,"sql,blockchain,angular,python",devops,1.0,9,0,0.376
91,CAND0406,JOB0019,"data analysis,sql,azure,cybersecurity,javascript",blockchain,23.7,0,0,0.105
92,CAND0696,JOB0003,"machine learning,linux,flutter,java",python,16.4,4,0,0.214
93,CAND0441,JOB0692,"python,devops,git,testing",data analysis,4.3,12,0,0.423
94,CAND0296,JOB0906,"blockchain,azure,linux,sql,aws",machine learning,24.9,5,0,0.2
95,CAND0726,JOB1085,"java,flutter,blockchain,docker",docker,13.5,1,1,0.666
96,CAND0488,JOB0872,"docker,react,flutter,python,sql",aws,9.9,11,0,0.38
97,CAND0642,JOB0995,"python,react,machine learning,blockchain,java,devops",devops,12.2,14,1,0.931
98,CAND0173,JOB0250,"cpp,javascript,node,angular",testing,17.0,13,0,0.392
99,CAND0472,JOB1044,"machine learning,cybersecurity,javascript,node",cpp,21.6,10,0,0.314
100,CAND0587,JOB0569,"machine learning,aws,python",java,25.5,1,0,0.118
101,CAND0738,JOB0451,"node,azure,python",cybersecurity,42.5,0,0,0.03
102,CAND0781,JOB1002,"azure,react,javascript,docker",cybersecurity,4.8,7,0,0.321
103,CAND0168,JOB1077,"cpp,testing,flutter,machine learning,data analysis,react",cybersecurity,35.0,7,0,0.2
104,CAND0400,JOB0759,"javascript,aws,cpp,testing,python",devops,49.2,0,0,0.003
105,CAND0322,JOB0013,"python,testing,cybersecurity,angular",machine learning,15.2,14,0,0.419
106,CAND0581,JOB0537,"react,flutter,azure,git,javascript,cpp",angular,42.5,4,0,0.11
107,CAND0554,JOB1176,"aws,blockchain,git,react,docker,javascript",devops,17.7,4,0,0.209
108,CAND0119,JOB0886,"sql,java,machine learning,python,azure,devops",angular,47.4,4,0,0.09
109,CAND0418,JOB0641,"react,sql,python,java,machine learning,angular",python,10.7,10,1,0.857
110,CAND0151,JOB0418,"javascript,azure,machine learning,docker,data analysis,angular",data analysis,10.7,0,1,0.657
111,CAND0613,JOB0443,"git,javascript,aws,linux,react",node,40.4,12,0,0.278
112,CAND0114,JOB0316,"git,java,docker,machine learning,react",devops,39.6,3,0,0.102
113,CAND0673,JOB1141,"cpp,git,sql,blockchain",git,37.5,1,1,0.57
114,CAND0301,JOB0175,"blockchain,angular,git",machine learning,39.2,6,0,0.163
115,CAND0056,JOB0898,"flutter,cybersecurity,cpp,testing,docker,angular",javascript,34.5,2,0,0.102
116,CAND0148,JOB0006,"python,devops,cpp,linux,blockchain,aws",sql,33.5,12,0,0.306
117,CAND0129,JOB0516,"react,java,sql",testing,29.2,0,0,0.083
118,CAND0170,JOB0803,"blockchain,python,testing,flutter",docker,16.4,5,0,0.234
119,CAND0671,JOB0944,"testing,git,angular,azure,javascript",sql,32.2,8,0,0.231
120,CAND0721,JOB0660,"node,docker,devops,cybersecurity,blockchain,java",node,3.3,14,1,0.967
121,CAND0570,JOB1141,"javascript,git,cybersecurity,linux",java,0.7,3,0,0.257
122,CAND0797,JOB0733,"aws,react,git,flutter,sql",flutter,25.4,0,1,0.598
123,CAND0151,JOB0454,"cybersecurity,angular,java,sql,flutter,machine learning",machine learning,36.5,5,1,0.654
124,CAND0563,JOB0604,"python,cpp,machine learning,react,aws,git",react,23.0,4,1,0.688
125,CAND0232,JOB0939,"testing,aws,java",java,23.2,4,1,0.687
126,CAND0231,JOB0889,"node,linux,javascript,react,angular",data analysis,20.7,11,0,0.337
127,CAND0797,JOB0961,"cpp,blockchain,data analysis",react,39.4,0,0,0.042
128,CAND0696,JOB1173,"flutter,aws,linux,python",react,30.7,12,0,0.317
129,CAND0520,JOB0849,"sql,python,javascript,azure,linux",angular,8.1,11,0,0.388
130,CAND0728,JOB0452,"machine learning,testing,linux",aws,0.3,9,0,0.379
131,CAND0676,JOB0834,"testing,git,devops",azure,3.9,8,0,0.344
132,CAND0718,JOB0226,"machine learning,azure,flutter",machine learning,27.1,7,1,0.732
133,CAND0671,JOB1144,"azure,blockchain,flutter,angular",testing,8.0,9,0,0.348
134,CAND0688,JOB1198,"docker,testing,cpp,python",angular,0.1,15,0,0.5
135,CAND0684,JOB1107,"machine learning,react,blockchain,data analysis,aws,cybersecurity",testing,7.9,8,0,0.328
136,CAND0276,JOB0827,"node,python,java,sql,cpp",cpp,38.7,1,1,0.565
137,CAND0315,JOB0350,"javascript,machine learning,react,cybersecurity",devops,11.0,0,0,0.156
138,CAND0650,JOB1051,"testing,node,git,sql",aws,41.0,12,0,0.276
139,CAND0032,JOB0702,"data analysis,python,linux,react,cybersecurity,cpp",angular,5.5,1,0,0.198
140,CAND0638,JOB0280,"cpp,blockchain,javascript,git,python",node,45.5,7,0,0.158
141,CAND0120,JOB1173,"react,javascript,testing,docker,linux",node,0.1,0,0,0.2
142,CAND0147,JOB0358,"devops,python,sql,data analysis,testing,flutter",aws,16.1,5,0,0.236
143,CAND0118,JOB0171,"flutter,linux,sql,devops,cybersecurity,data analysis",docker,45.0,8,0,0.18
144,CAND0300,JOB0508,"flutter,devops,react,linux,git",react,39.6,9,1,0.722
145,CAND0422,JOB0313,"react,blockchain,docker,linux",react,11.6,5,1,0.754
146,CAND0644,JOB0117,"testing,python,aws,azure,blockchain",react,49.9,13,0,0.26
147,CAND0142,JOB1126,"docker,javascript,python",python,45.6,12,1,0.758
148,CAND0335,JOB0278,"devops,java,blockchain,python",docker,24.1,4,0,0.184
149,CAND0475,JOB0541,"sql,data analysis,cybersecurity,node,docker",docker,33.8,6,1,0.685
150,CAND0640,JOB0730,"testing,javascript,git,aws,azure",angular,48.9,1,0,0.024
151,CAND0008,JOB0344,"blockchain,cybersecurity,data analysis,java",node,48.2,6,0,0.127
152,CAND0433,JOB0812,"sql,python,linux",javascript,3.1,5,0,0.288
153,CAND0473,JOB0798,"machine learning,data analysis,sql",react,22.3,1,0,0.131
154,CAND0440,JOB0601,"cybersecurity,data analysis,react,git,blockchain",python,2.7,13,0,0.449
155,CAND0316,JOB1060,"linux,flutter,blockchain",aws,45.0,6,0,0.14
156,CAND0099,JOB1196,"react,aws,data analysis,java",flutter,7.6,4,0,0.25
157,CAND0181,JOB0967,"data analysis,docker,react",aws,5.3,15,0,0.479
158,CAND0472,JOB0517,"cybersecurity,git,java,sql,machine learning",cpp,27.7,5,0,0.189
159,CAND0368,JOB1162,"aws,git,node,docker,cpp",java,18.2,3,0,0.187
160,CAND0557,JOB0020,"sql,react,devops,angular",docker,22.4,2,0,0.15
161,CAND0342,JOB0338,"docker,linux,python,data analysis",python,24.5,2,1,0.642
162,CAND0202,JOB0875,"cybersecurity,cpp,git,react,sql,docker",cybersecurity,17.5,10,1,0.83
163,CAND0111,JOB1194,"flutter,python,testing,azure,cybersecurity",docker,31.5,3,0,0.134
164,CAND0669,JOB0753,"blockchain,python,node,java,git,javascript",testing,18.2,6,0,0.247
165,CAND0349,JOB0123,"aws,git,data analysis,react,azure",angular,41.4,12,0,0.274
166,CAND0180,JOB0312,"azure,flutter,javascript,node,linux",python,16.2,0,0,0.135
167,CAND0270,JOB1026,"data analysis,python,angular,git,react",javascript,16.0,7,0,0.276
168,CAND0483,JOB1161,"aws,testing,python,sql,data analysis,node",devops,0.7,4,0,0.277
169,CAND0654,JOB1194,"javascript,linux,testing,machine learning",blockchain,34.8,2,0,0.101
170,CAND0436,JOB0400,"git,machine learning,linux,blockchain",java,30.4,9,0,0.258
171,CAND0449,JOB0464,"node,cybersecurity,devops",flutter,38.9,5,0,0.144
172,CAND0407,JOB0581,"blockchain,angular,node,python,data analysis",git,7.2,0,0,0.171
173,CAND0107,JOB0173,"angular,data analysis,git,cybersecurity",linux,3.7,3,0,0.245
174,CAND0789,JOB1082,"sql,machine learning,javascript",cpp,1.8,15,0,0.493
175,CAND0629,JOB1017,"devops,sql,docker,testing",cpp,2.9,8,0,0.348
176,CAND0344,JOB0258,"python,flutter,node,cybersecurity,testing",docker,16.2,9,0,0.315
177,CAND0660,JOB0592,"linux,git,testing,blockchain",cpp,38.7,13,0,0.305
178,CAND0071,JOB0788,"testing,devops,aws,cybersecurity,azure",docker,7.7,12,0,0.409
179,CAND0193,JOB0948,"azure,sql,data analysis,cybersecurity,angular",data analysis,18.7,15,1,0.925
180,CAND0745,JOB0988,"java,data analysis,python",docker,8.3,12,0,0.407
181,CAND0476,JOB0043,"javascript,python,java,blockchain,azure,devops",react,33.3,15,0,0.367
182,CAND0364,JOB0216,"python,data analysis,blockchain,cybersecurity,git",blockchain,15.3,7,1,0.779
183,CAND0471,JOB1172,"testing,docker,cybersecurity,linux,node,javascript",docker,47.4,5,1,0.61
184,CAND0234,JOB0262,"data analysis,python,sql,java,cpp",azure,17.3,4,0,0.211
185,CAND0340,JOB0009,"node,angular,flutter,java,azure",git,36.8,14,0,0.333
186,CAND0012,JOB0716,"docker,machine learning,data analysis",cpp,14.4,3,0,0.202
187,CAND0569,JOB0511,"javascript,linux,data analysis,cpp,java",sql,29.3,14,0,0.363
188,CAND0359,JOB0231,"cpp,angular,linux,blockchain,azure,react",flutter,42.6,13,0,0.29
189,CAND0501,JOB1132,"flutter,node,linux,javascript,azure",blockchain,35.9,11,0,0.276
190,CAND0263,JOB0224,"azure,cpp,node,machine learning,aws,git",react,34.8,9,0,0.241
191,CAND0514,JOB0252,"machine learning,sql,git,node,azure,aws",cpp,8.6,2,0,0.206
192,CAND0011,JOB0332,"java,cpp,devops,docker",cybersecurity,21.2,4,0,0.195
193,CAND0002,JOB0481,"git,java,data analysis,blockchain,testing",linux,41.0,7,0,0.176
194,CAND0269,JOB0841,"sql,cybersecurity,devops,node,machine learning",javascript,12.5,10,0,0.35
195,CAND0093,JOB1133,"javascript,cpp,flutter,python",git,5.4,9,0,0.358
196,CAND0036,JOB0703,"testing,blockchain,flutter,angular,linux",python,36.7,5,0,0.153
197,CAND0489,JOB0646,"javascript,react,git,devops,testing,cpp",flutter,2.2,4,0,0.271
198,CAND0316,JOB1062,"sql,testing,cpp,machine learning,git",flutter,40.2,10,0,0.239
199,CAND0062,JOB0216,"blockchain,linux,azure,devops,react",cybersecurity,2.7,8,0,0.349
200,CAND0393,JOB0180,"blockchain,react,python,docker,java",react,25.1,3,1,0.66
201,CAND0535,JOB1169,"aws,machine learning,javascript",testing,20.9,14,0,0.396
202,CAND0637,JOB0911,"cybersecurity,docker,testing",machine learning,5.3,0,0,0.179
203,CAND0189,JOB1115,"git,devops,angular,blockchain",javascript,47.4,2,0,0.05
204,CAND0090,JOB1100,"angular,cybersecurity,flutter,git,react",machine learning,3.3,4,0,0.267
205,CAND0727,JOB0676,"cybersecurity,python,testing,node",react,46.5,14,0,0.294
206,CAND0468,JOB0724,"linux,azure,angular,docker",node,16.8,8,0,0.293
207,CAND0647,JOB0076,"cybersecurity,angular,java",flutter,13.4,11,0,0.366
208,CAND0127,JOB1097,"data analysis,machine learning,git",angular,47.4,5,0,0.11
209,CAND0564,JOB1198,"git,react,cybersecurity",linux,11.5,3,0,0.214
210,CAND0173,JOB0057,"azure,flutter,angular",angular,18.2,3,1,0.687
211,CAND0753,JOB1134,"machine learning,javascript,react",flutter,3.2,7,0,0.327
212,CAND0497,JOB1185,"linux,aws,node,react,machine learning,cpp",blockchain,27.0,3,0,0.152
213,CAND0139,JOB0313,"node,cpp,blockchain,react,docker",cybersecurity,11.1,2,0,0.196
214,CAND0457,JOB0504,"devops,git,react,python",cpp,12.6,0,0,0.15
215,CAND0681,JOB0244,"java,azure,angular,docker,flutter,aws",angular,35.1,6,1,0.68
216,CAND0067,JOB0251,"azure,docker,testing",sql,2.0,4,0,0.272
217,CAND0387,JOB1057,"javascript,linux,node",sql,26.3,4,0,0.175
218,CAND0349,JOB0325,"angular,machine learning,cpp,java,aws",aws,18.4,7,1,0.766
219,CAND0661,JOB0815,"devops,machine learning,javascript,cybersecurity",data analysis,23.2,2,0,0.147
220,CAND0697,JOB0178,"blockchain,python,angular",java,39.3,0,0,0.043
221,CAND0317,JOB0319,"linux,javascript,blockchain,cpp",git,38.2,8,0,0.207
222,CAND0555,JOB0491,"python,linux,blockchain",angular,43.3,5,0,0.127
223,CAND0338,JOB0162,"aws,angular,python",azure,33.9,4,0,0.144
224,CAND0019,JOB0055,"java,devops,cpp,angular",flutter,16.9,9,0,0.312
225,CAND0518,JOB1068,"cpp,react,machine learning,cybersecurity",docker,23.3,8,0,0.267
226,CAND0440,JOB0989,"azure,git,aws,cpp",node,24.9,6,0,0.22
227,CAND0137,JOB1144,"cpp,data analysis,machine learning,flutter,cybersecurity",linux,12.9,2,0,0.188
228,CAND0233,JOB0116,"aws,cybersecurity,angular,react,git,python",data analysis,2.6,14,0,0.47
229,CAND0178,JOB0548,"cybersecurity,docker,testing,flutter,java",javascript,45.2,1,0,0.039
230,CAND0253,JOB1167,"aws,devops,data analysis,sql",docker,0.1,8,0,0.36
231,CAND0034,JOB0040,"aws,javascript,sql",node,41.7,0,0,0.033
232,CAND0311,JOB0751,"java,devops,sql,angular,machine learning,data analysis",docker,48.2,1,0,0.027
233,CAND0282,JOB0365,"devops,data analysis,java,linux,cpp,docker",cybersecurity,36.8,15,0,0.353
234,CAND0738,JOB0560,"cpp,data analysis,flutter",azure,11.2,6,0,0.275
235,CAND0139,JOB0754,"node,devops,machine learning",docker,13.3,13,0,0.407
236,CAND0160,JOB0852,"python,java,flutter,docker,blockchain,react",devops,23.9,14,0,0.384
237,CAND0722,JOB0698,"flutter,cybersecurity,git,machine learning,python,azure",machine learning,42.8,10,1,0.729
238,CAND0011,JOB0397,"java,data analysis,react,cpp,git,devops",cpp,47.4,8,1,0.67
239,CAND0644,JOB1190,"javascript,flutter,linux,data analysis,azure",git,39.6,13,0,0.302
240,CAND0692,JOB0879,"linux,devops,data analysis,cybersecurity,sql",devops,6.2,9,1,0.855
241,CAND0089,JOB0319,"blockchain,node,cpp,flutter",azure,38.2,11,0,0.267
242,CAND0298,JOB0198,"data analysis,cpp,git",blockchain,24.2,7,0,0.243
243,CAND0272,JOB1191,"azure,angular,react,machine learning,blockchain",linux,26.2,4,0,0.175
244,CAND0580,JOB0622,"machine learning,docker,testing,javascript,angular,aws",javascript,16.9,3,1,0.692
245,CAND0716,JOB0397,"cpp,node,python,blockchain,angular,aws",react,18.3,3,0,0.187
246,CAND0434,JOB0389,"devops,python,cpp,java",blockchain,42.0,0,0,0.032
247,CAND0590,JOB0973,"node,aws,docker",python,11.3,4,0,0.235
248,CAND0248,JOB1057,"machine learning,blockchain,testing,angular",docker,43.0,15,0,0.328
249,CAND0054,JOB0681,"flutter,python,aws,angular",data analysis,2.2,15,0,0.491
250,CAND0627,JOB0980,"cybersecurity,devops,aws",cybersecurity,31.2,6,1,0.695
251,CAND0660,JOB0741,"node,devops,cpp,machine learning,javascript,docker",linux,28.0,13,0,0.348
252,CAND0017,JOB0938,"aws,data analysis,git",node,26.6,7,0,0.234
253,CAND0045,JOB0554,"testing,python,java,data analysis",azure,37.0,0,0,0.052
254,CAND0620,JOB0558,"cpp,java,cybersecurity,docker,flutter",javascript,26.6,4,0,0.174
255,CAND0544,JOB0446,"cpp,testing,python,cybersecurity",flutter,48.7,3,0,0.065
256,CAND0380,JOB0903,"aws,angular,docker,react,flutter,sql",aws,28.4,12,1,0.826
257,CAND0024,JOB0607,"react,git,javascript,devops",python,33.2,15,0,0.367
258,CAND0003,JOB0840,"cpp,angular,python",blockchain,22.2,0,0,0.111
259,CAND0150,JOB0118,"machine learning,node,blockchain,sql,javascript,devops",cybersecurity,45.3,2,0,0.059
260,CAND0591,JOB0262,"javascript,angular,data analysis,linux",testing,25.2,0,0,0.099
261,CAND0642,JOB0271,"cpp,cybersecurity,aws",angular,3.8,13,0,0.445
262,CAND0286,JOB1177,"sql,git,testing",blockchain,30.1,1,0,0.1
263,CAND0267,JOB0762,"docker,javascript,sql,node,devops",git,0.5,5,0,0.298
264,CAND0571,JOB1154,"sql,devops,testing,azure",cybersecurity,28.6,14,0,0.366
265,CAND0138,JOB0344,"blockchain,react,flutter,python,java",flutter,21.6,13,1,0.874
266,CAND0505,JOB1018,"angular,data analysis,react,sql,devops",python,41.0,2,0,0.076
267,CAND0332,JOB0862,"data analysis,docker,cpp",javascript,0.5,11,0,0.418
268,CAND0604,JOB0964,"devops,node,azure,javascript",javascript,5.4,7,1,0.818
269,CAND0130,JOB1155,"machine learning,blockchain,git",java,48.5,2,0,0.046
270,CAND0225,JOB0801,"node,sql,linux,java,git,javascript",blockchain,27.5,6,0,0.21
271,CAND0178,JOB0526,"devops,cybersecurity,blockchain,javascript",aws,5.6,3,0,0.238
272,CAND0347,JOB0225,"testing,sql,cpp,devops,aws,java",linux,34.9,13,0,0.32
273,CAND0247,JOB0981,"cpp,azure,angular",testing,32.7,3,0,0.129
274,CAND0495,JOB0635,"java,linux,node,aws,docker",cybersecurity,33.9,6,0,0.184
275,CAND0062,JOB0321,"sql,cybersecurity,angular,javascript,data analysis",sql,11.7,13,1,0.913
276,CAND0119,JOB0797,"aws,node,flutter,git,java,docker",data analysis,43.5,5,0,0.126
277,CAND0035,JOB0979,"aws,flutter,data analysis",angular,33.2,15,0,0.367
278,CAND0356,JOB0914,"angular,java,cybersecurity,cpp",azure,0.6,8,0,0.358
279,CAND0693,JOB0485,"docker,java,cpp,linux,git",python,0.8,2,0,0.237
280,CAND0020,JOB0675,"java,sql,azure,devops,linux",devops,11.5,12,1,0.894
281,CAND0166,JOB1165,"react,docker,aws,java",aws,43.1,12,1,0.768
282,CAND0216,JOB0987,"azure,sql,python,data analysis,angular,blockchain",docker,46.8,1,0,0.033
283,CAND0724,JOB0305,"blockchain,react,java,javascript,git",sql,23.9,10,0,0.304
284,CAND0548,JOB0267,"javascript,machine learning,flutter,blockchain",react,29.0,7,0,0.224
285,CAND0696,JOB1069,"python,aws,react,angular,testing",python,34.7,1,1,0.581
286,CAND0524,JOB0722,"aws,blockchain,docker",python,44.4,13,0,0.282
287,CAND0177,JOB0346,"cpp,python,react,cybersecurity,angular,node",blockchain,26.1,3,0,0.156
288,CAND0338,JOB0732,"docker,machine learning,node,python,devops,react",sql,35.4,3,0,0.118
289,CAND0689,JOB0521,"data analysis,sql,devops",python,4.1,0,0,0.184
290,CAND0023,JOB0207,"devops,aws,flutter",javascript,34.7,1,0,0.081
291,CAND0433,JOB0342,"cybersecurity,machine learning,javascript,node,docker,testing",flutter,34.6,5,0,0.162
292,CAND0519,JOB1021,"react,machine learning,sql,angular,testing,cpp",node,5.1,11,0,0.4
293,CAND0394,JOB0170,"python,data analysis,machine learning,node",devops,48.7,7,0,0.145
294,CAND0166,JOB0173,"linux,azure,java,angular,sql",machine learning,7.9,1,0,0.188
295,CAND0511,JOB0778,"flutter,devops,testing,sql,machine learning",react,20.7,14,0,0.397
296,CAND0583,JOB0613,"python,flutter,linux,cybersecurity",git,49.9,7,0,0.14
297,CAND0370,JOB0470,"data analysis,testing,cybersecurity,blockchain,sql",data analysis,20.8,15,1,0.917
298,CAND0765,JOB0462,"azure,aws,java,react",machine learning,21.5,12,0,0.354
299,CAND0405,JOB0924,"machine learning,angular,docker,cybersecurity,node,azure",testing,5.8,6,0,0.297
300,CAND0745,JOB0380,"data analysis,sql,devops",docker,24.0,2,0,0.144
301,CAND0669,JOB0450,"devops,sql,angular,machine learning,cpp,linux",docker,8.5,15,0,0.466
302,CAND0434,JOB0245,"java,docker,cpp,blockchain,devops",node,29.1,5,0,0.184
303,CAND0148,JOB0840,"blockchain,data analysis,java,machine learning,git,aws",cpp,14.8,15,0,0.441
